Property,Status,Assignee,Due,Priority,Tags
Write up proposal for Gitcoin art grant round,Done,"Dank PHART the Pirate Poet ","November 29, 2024",High,Development
Boulder Grant writing support grant,In Progress,"Dank PHART the Pirate Poet ","December 13, 2024",High,
"Outline practical elements of conference, budget etc…etc… low to high numbers. Minimum to run it.",In Progress,"Dank PHART the Pirate Poet , Heidi Petty, Grig B","December 20, 2024",High,
Phase 1: WordPress Foundation Setup,Not Started,,"January 31, 2025",,Development
Phase 2: Content Management System,Not Started,,"February 28, 2025",,Development
Phase 3: TV Interface Development,Not Started,,"March 31, 2025",,Development
Phase 4: Integration & Testing,Not Started,,"April 30, 2025",,Development
Phase 5: Deployment & Documentation,Not Started,,"May 31, 2025",,Development
Developing marketing plan,Not Started,,,High,
Brain storm Ideas for NFT to offer as perk,Not Started,"Grig B, Dank PHART the Pirate Poet ",,High,
"Write up draft of idea for conference ",In Progress,"Dank PHART the Pirate Poet ",,High,
"Organize links, and other assets in one place",In Progress,"Dank PHART the Pirate Poet ",,High,
"Write copy ",Done,"Dank PHART the Pirate Poet ",,High,
Make pitch deck for Gitcoin Art Grant round,Not Started,,,High,Development
,Not Started,,,,
Round 1 content,Not Started,,,,
2nd Retail Display,Not Started,,,,
Get Round 1 Sponsors,Not Started,,,,
Prototype content,Not Started,,,,
Prototype to The Stand,Not Started,,,,
Prototype,Not Started,,,,
Phase 5: Deployment & Documentation,Not Started,,,,
Phase 4: Integration & Testing,Not Started,,,,
Phase 3: TV Interface Development,Not Started,,,,
Phase 2: Content Management System,Not Started,,,,
Phase 1: WordPress Foundation Setup,Not Started,,,,
Build out road map for launch of Beta Test in Boulder,In Progress,"Dank PHART the Pirate Poet ",,High,Admin
Bylaws signing,Done,,,,
Bylaws review,Done,,,,
1023 501(c)(3) filing,Done,,,,
Review website page and design pages/subpages,Not Started,,,,Admin